Question ID,Quant. views,Quant. answers,Score,Título da Question,Tags,Link da Question
1125968,4718292,44,7123,"How do I force ""git pull"" to overwrite local files?","git, version-control, overwrite, git-pull, git-fetch",https://stackoverflow.com/questions/1125968/how-do-i-force-git-pull-to-overwrite-local-files
336859,1007524,39,6839,var functionName = function() {} vs function functionName() {},"javascript, function, syntax, idioms",https://stackoverflow.com/questions/336859/var-functionname-function-vs-function-functionname
61212,2245267,36,6814,How to remove local (untracked) files from the current Git working tree,"git, branch, git-branch",https://stackoverflow.com/questions/61212/how-to-remove-local-untracked-files-from-the-current-git-working-tree
6841333,652075,9,6810,Why is subtracting these two times (in 1927) giving a strange result?,"java, date, timezone",https://stackoverflow.com/questions/6841333/why-is-subtracting-these-two-times-in-1927-giving-a-strange-result
1783405,5162325,32,6672,How do I check out a remote Git branch?,"git, git-checkout, remote-branch",https://stackoverflow.com/questions/1783405/how-do-i-check-out-a-remote-git-branch
40480,1962553,88,6535,"Is Java ""pass-by-reference"" or ""pass-by-value""?","java, methods, parameter-passing, pass-by-reference, pass-by-value",https://stackoverflow.com/questions/40480/is-java-pass-by-reference-or-pass-by-value
7074,1075420,66,6477,What is the difference between String and string in C#?,"c#, .net, string, types, alias",https://stackoverflow.com/questions/7074/what-is-the-difference-between-string-and-string-in-c
208105,2198168,42,6111,How do I remove a property from a JavaScript object?,"javascript, javascript-objects",https://stackoverflow.com/questions/208105/how-do-i-remove-a-property-from-a-javascript-object
419163,2911516,33,6005,"What does if __name__ == ""__main__"": do?","python, namespaces, main, python-module, idioms",https://stackoverflow.com/questions/419163/what-does-if-name-main-do
394809,1896317,25,5987,Does Python have a ternary conditional operator?,"python, operators, ternary-operator, conditional-operator",https://stackoverflow.com/questions/394809/does-python-have-a-ternary-conditional-operator
2025282,1247514,33,5803,"What is the difference between ""px"", ""dip"", ""dp"" and ""sp""?","android, android-layout, user-interface, dimension, units-of-measurement",https://stackoverflow.com/questions/2025282/what-is-the-difference-between-px-dip-dp-and-sp
100003,791146,20,5690,What are metaclasses in Python?,"python, oop, metaclass, python-datamodel",https://stackoverflow.com/questions/100003/what-are-metaclasses-in-python
359494,1755799,49,5665,Which equals operator (== vs ===) should be used in JavaScript comparisons?,"javascript, operators, equality, equality-operator, identity-operator",https://stackoverflow.com/questions/359494/which-equals-operator-vs-should-be-used-in-javascript-comparisons
82831,3856568,39,5563,How do I check whether a file exists without exceptions?,"python, file, file-exists",https://stackoverflow.com/questions/82831/how-do-i-check-whether-a-file-exists-without-exceptions
14220321,1431922,39,5480,How do I return the response from an asynchronous call?,"javascript, jquery, ajax, asynchronous",https://stackoverflow.com/questions/14220321/how-do-i-return-the-response-from-an-asynchronous-call
549,603197,12,5368,The definitive guide to form-based website authentication,"security, http, authentication, language-agnostic, article",https://stackoverflow.com/questions/549/the-definitive-guide-to-form-based-website-authentication
630453,2368591,34,5358,PUT vs. POST in REST,"http, rest, post, put",https://stackoverflow.com/questions/630453/put-vs-post-in-rest
1274057,1223973,26,5341,"How to make Git ""forget"" about a file that was tracked but is now in .gitignore?","git, gitignore, git-rm",https://stackoverflow.com/questions/1274057/how-to-make-git-forget-about-a-file-that-was-tracked-but-is-now-in-gitignore
16956810,6545239,47,5218,How do I find all files containing specific text on Linux?,"linux, text, grep, directory, find",https://stackoverflow.com/questions/16956810/how-do-i-find-all-files-containing-specific-text-on-linux
122102,1997680,67,5180,What is the most efficient way to deep clone an object in JavaScript?,"javascript, object, clone",https://stackoverflow.com/questions/122102/what-is-the-most-efficient-way-to-deep-clone-an-object-in-javascript
826782,1916540,47,5176,How to disable text selection highlighting,"css, cross-browser, highlight, textselection",https://stackoverflow.com/questions/826782/how-to-disable-text-selection-highlighting
950087,3134021,60,5160,How do I include a JavaScript file in another JavaScript file?,"javascript, file, import, include",https://stackoverflow.com/questions/950087/how-do-i-include-a-javascript-file-in-another-javascript-file
1628563,1020881,14,4957,Move the most recent commit(s) to a new branch with Git,"git, git-branch, branching-and-merging",https://stackoverflow.com/questions/1628563/move-the-most-recent-commits-to-a-new-branch-with-git
487258,694020,40,4929,"What is a plain English explanation of ""Big O"" notation?","algorithm, complexity-theory, computer-science, big-o, time-complexity",https://stackoverflow.com/questions/487258/what-is-a-plain-english-explanation-of-big-o-notation
59895,1697901,66,4924,How to get the source directory of a Bash script from within the script itself,"bash, directory",https://stackoverflow.com/questions/59895/how-to-get-the-source-directory-of-a-bash-script-from-within-the-script-itself
89228,3402894,62,4846,Calling an external command from Python,"python, shell, terminal, subprocess, command",https://stackoverflow.com/questions/89228/calling-an-external-command-from-python
417142,1245709,17,4815,What is the maximum length of a URL in different browsers?,"http, url, browser",https://stackoverflow.com/questions/417142/what-is-the-maximum-length-of-a-url-in-different-browsers
52704,2569008,35,4788,How do I discard unstaged changes in Git?,"git, version-control",https://stackoverflow.com/questions/52704/how-do-i-discard-unstaged-changes-in-git
161813,2652836,35,4748,How to resolve merge conflicts in Git,"git, git-merge, merge-conflict-resolution, git-merge-conflict",https://stackoverflow.com/questions/161813/how-to-resolve-merge-conflicts-in-git
38987,1811206,44,4727,How do I merge two dictionaries in a single expression in Python?,"python, dictionary, merge",https://stackoverflow.com/questions/38987/how-do-i-merge-two-dictionaries-in-a-single-expression-in-python
9329446,4065111,40,4662,For-each over an array in JavaScript,"javascript, arrays, loops, foreach, iteration",https://stackoverflow.com/questions/9329446/for-each-over-an-array-in-javascript
38549,2323804,26,4654,"What is the difference between ""INNER JOIN"" and ""OUTER JOIN""?","sql, database, join, inner-join, outer-join",https://stackoverflow.com/questions/38549/what-is-the-difference-between-inner-join-and-outer-join
4456438,922097,9,4633,"How to pass ""Null"" (a real surname!) to a SOAP web service in ActionScript 3","apache-flex, actionscript, soap, coldfusion, wsdl",https://stackoverflow.com/questions/4456438/how-to-pass-null-a-real-surname-to-a-soap-web-service-in-actionscript-3
901712,4115893,66,4534,How do I check whether a checkbox is checked in jQuery?,"javascript, jquery, html, checkbox",https://stackoverflow.com/questions/901712/how-do-i-check-whether-a-checkbox-is-checked-in-jquery
14994391,818119,15,4514,"""Thinking in AngularJS"" if I have a jQuery background?","javascript, jquery, angularjs",https://stackoverflow.com/questions/14994391/thinking-in-angularjs-if-i-have-a-jquery-background
762011,1238797,35,4489,"What's the difference between using ""let"" and ""var""?","javascript, scope, ecmascript-6, var, let",https://stackoverflow.com/questions/762011/whats-the-difference-between-using-let-and-var
215718,1931959,32,4484,How can I reset or revert a file to a specific revision?,"git, version-control, git-checkout",https://stackoverflow.com/questions/215718/how-can-i-reset-or-revert-a-file-to-a-specific-revision
3737139,660975,18,4460,Reference — What does this symbol mean in PHP?,"php, arguments, operators, symbols",https://stackoverflow.com/questions/3737139/reference-what-does-this-symbol-mean-in-php
176264,1142036,32,4348,"What is the difference between a URI, a URL and a URN?","http, url, uri, urn, rfc3986",https://stackoverflow.com/questions/176264/what-is-the-difference-between-a-uri-a-url-and-a-urn
1144783,3391116,63,4348,How to replace all occurrences of a string?,"javascript, string, replace",https://stackoverflow.com/questions/1144783/how-to-replace-all-occurrences-of-a-string
46155,2993376,94,4337,How to validate an email address in JavaScript,"javascript, regex, validation, email, email-validation",https://stackoverflow.com/questions/46155/how-to-validate-an-email-address-in-javascript
2765421,3353427,14,4284,How do I push a new local branch to a remote Git repository and track it too?,"git, repository, git-branch, git-push, git-remote",https://stackoverflow.com/questions/2765421/how-do-i-push-a-new-local-branch-to-a-remote-git-repository-and-track-it-too
406230,3324247,30,4274,Regular expression to match a line that doesn't contain a word,"regex, regex-negation",https://stackoverflow.com/questions/406230/regular-expression-to-match-a-line-that-doesnt-contain-a-word
114543,3994515,107,4268,How to horizontally center a <div>,"html, css, alignment, centering",https://stackoverflow.com/questions/114543/how-to-horizontally-center-a-div
388242,2347448,1,4243,The Definitive C++ Book Guide and List,"c++, c++-faq",https://stackoverflow.com/questions/388242/the-definitive-c-book-guide-and-list
115983,961632,33,4242,How can I add an empty directory to a Git repository?,"git, directory, git-add",https://stackoverflow.com/questions/115983/how-can-i-add-an-empty-directory-to-a-git-repository
273192,2608933,25,4212,How can I safely create a nested directory?,"python, exception, path, directory, operating-system",https://stackoverflow.com/questions/273192/how-can-i-safely-create-a-nested-directory
105034,1808122,48,4156,How to create GUID / UUID?,"javascript, guid, uuid",https://stackoverflow.com/questions/105034/how-to-create-guid-uuid
67699,1229970,38,4120,How to clone all remote branches in Git?,"git, github, git-branch, git-clone, remote-branch",https://stackoverflow.com/questions/67699/how-to-clone-all-remote-branches-in-git
426258,3246111,41,4117,"Setting ""checked"" for a checkbox with jQuery","javascript, jquery, checkbox, selected, checked",https://stackoverflow.com/questions/426258/setting-checked-for-a-checkbox-with-jquery
2669690,523287,7,4068,Why does Google prepend while(1); to their JSON responses?,"javascript, json, ajax, security",https://stackoverflow.com/questions/2669690/why-does-google-prepend-while1-to-their-json-responses
4089430,2846562,23,4061,How can I determine the URL that a local Git repository was originally cloned from?,"git, github, git-remote",https://stackoverflow.com/questions/4089430/how-can-i-determine-the-url-that-a-local-git-repository-was-originally-cloned-fr
134845,2279994,54,4060,"Which ""href"" value should I use for JavaScript links, ""#"" or ""javascript:void(0)""?","javascript, html, performance, optimization, href",https://stackoverflow.com/questions/134845/which-href-value-should-i-use-for-javascript-links-or-javascriptvoid0
309424,2104954,59,4047,How do I read / convert an InputStream into a String in Java?,"java, string, io, stream, inputstream",https://stackoverflow.com/questions/309424/how-do-i-read-convert-an-inputstream-into-a-string-in-java
271526,1233415,61,4003,Avoiding != null statements,"java, object, nullpointerexception, null",https://stackoverflow.com/questions/271526/avoiding-null-statements
221294,2854306,39,3995,How do you get a timestamp in JavaScript?,"javascript, date, datetime, timestamp, unix-timestamp",https://stackoverflow.com/questions/221294/how-do-you-get-a-timestamp-in-javascript
237104,2532942,51,3977,How do I check if an array includes a value in JavaScript?,"javascript, arrays, algorithm, time-complexity, javascript-objects",https://stackoverflow.com/questions/237104/how-do-i-check-if-an-array-includes-a-value-in-javascript
671118,1653696,32,3976,What exactly is RESTful programming?,"http, rest, definition",https://stackoverflow.com/questions/671118/what-exactly-is-restful-programming
2610497,1735005,36,3964,Change an HTML5 input's placeholder color with CSS,"css, html, placeholder, html-input",https://stackoverflow.com/questions/2610497/change-an-html5-inputs-placeholder-color-with-css
2389361,2172483,31,3914,Undo a Git merge that hasn't been pushed yet,"git, undo, git-merge",https://stackoverflow.com/questions/2389361/undo-a-git-merge-that-hasnt-been-pushed-yet
14415881,409941,36,3902,How can I pair socks from a pile efficiently?,"algorithm, sorting, language-agnostic, matching",https://stackoverflow.com/questions/14415881/how-can-i-pair-socks-from-a-pile-efficiently
2432764,1614634,22,3851,How to change the URI (URL) for a remote Git repository?,"git, url, git-remote",https://stackoverflow.com/questions/2432764/how-to-change-the-uri-url-for-a-remote-git-repository
1628088,3184194,21,3817,Reset local repository branch to be just like remote repository HEAD,"git, undo",https://stackoverflow.com/questions/1628088/reset-local-repository-branch-to-be-just-like-remote-repository-head
1109022,1515968,104,3801,Close/hide android soft keyboard,"android, android-edittext, android-softkeyboard, android-input-method, soft-keyboard",https://stackoverflow.com/questions/1109022/close-hide-android-soft-keyboard
105372,766459,29,3744,How to enumerate an enum,"c#, .net, loops, enums, enumeration",https://stackoverflow.com/questions/105372/how-to-enumerate-an-enum
1026069,1996574,90,3744,How do I make the first letter of a string uppercase in JavaScript?,"javascript, string, letter, capitalize",https://stackoverflow.com/questions/1026069/how-do-i-make-the-first-letter-of-a-string-uppercase-in-javascript
40471,1535784,35,3737,Differences between HashMap and Hashtable?,"java, collections, hashmap, hashtable",https://stackoverflow.com/questions/40471/differences-between-hashmap-and-hashtable
11828270,2079845,10,3725,How do I exit the Vim editor?,"vim, vi",https://stackoverflow.com/questions/11828270/how-do-i-exit-the-vim-editor
59838,2782240,35,3705,How can I check if a directory exists in a Bash shell script?,"bash, shell, unix, posix",https://stackoverflow.com/questions/59838/how-can-i-check-if-a-directory-exists-in-a-bash-shell-script
2334712,4293904,34,3678,How do I UPDATE from a SELECT in SQL Server?,"sql, sql-server, tsql, select",https://stackoverflow.com/questions/2334712/how-do-i-update-from-a-select-in-sql-server
16047306,729493,20,3675,How is Docker different from a virtual machine?,"docker, containers, virtual-machine, virtualization",https://stackoverflow.com/questions/16047306/how-is-docker-different-from-a-virtual-machine
13375357,311127,11,3624,Proper use cases for Android UserManager.isUserAGoat()?,"java, android, usermanager",https://stackoverflow.com/questions/13375357/proper-use-cases-for-android-usermanager-isuseragoat
8710619,286777,11,3621,"Why don't Java's +=, -=, *=, /= compound assignment operators require casting?","java, casting, operators, variable-assignment, assignment-operator",https://stackoverflow.com/questions/8710619/why-dont-javas-compound-assignment-operators-require-casting
3437059,4100123,10,3599,Does Python have a string 'contains' substring method?,"python, string, substring, contains",https://stackoverflow.com/questions/3437059/does-python-have-a-string-contains-substring-method
157944,1483460,34,3583,Create ArrayList from array,"java, arrays, arraylist, type-conversion",https://stackoverflow.com/questions/157944/create-arraylist-from-array
7244321,742358,21,3573,How do I update a GitHub forked repository?,"git, github, pull-request, git-fork",https://stackoverflow.com/questions/7244321/how-do-i-update-a-github-forked-repository
522563,2094695,20,3568,Accessing the index in 'for' loops?,"python, loops, list",https://stackoverflow.com/questions/522563/accessing-the-index-in-for-loops
5189560,1635845,34,3557,Squash my last X commits together using Git,"git, rebase, squash, git-squash",https://stackoverflow.com/questions/5189560/squash-my-last-x-commits-together-using-git
136097,774223,26,3555,Difference between staticmethod and classmethod,"python, oop, methods, python-decorators",https://stackoverflow.com/questions/136097/difference-between-staticmethod-and-classmethod
520650,1330575,21,3525,Make an existing Git branch track a remote branch?,"git, branch, git-branch",https://stackoverflow.com/questions/520650/make-an-existing-git-branch-track-a-remote-branch
